Nennen Sie vier Merkmale eines Projekts.	Zielvorgabe<br><br>Zeitliche Begrenzung<br><br>Begrenzte Ressourcen (personell, finanziell)<br><br>Projektspezifische Organisationsform<br><br>Einmaligkeit<br><br>Komplexität	IHK-AP1 projekt
A  accepted- akzeptiert oder attainable	erreichbar oder attractive – attraktiv	IHK-AP1 projekt
Beschreiben Sie die Auswirkung auf das Projektende.	Keine Auswirkung, da der Puffer von 9 Stunden die 4 Stunden Verzögerung auffängt.	IHK-AP1 projekt
Nennen Sie zwei Vorteile sowie zwei Nachteile von remote gegenüber einer Vor-Ort-Wartung.	Vorteile:<br><br>Geringere Kosten – Fahrtkosten, Reisezeit, Spesen<br><br>Einfachere Einbindung weiterer Spezialisten bei Bedarf<br><br>Schonung interner Ressourcen – Büro, Konferenzraum<br><br>Kontaktvermeidung<br><br>u. a.<br><br>Nachteile:<br><br>Risiko im Bereich Datenschutz, da Patientendaten abgegriffen werden könnten<br><br>Zusätzliche Kosten für eine gesicherte Verbindung<br><br>Wartung bei Verbindungsproblemen nicht möglich<br><br>u. a.	IHK-AP1 projekt datenschutz
Schulung am Arbeitsplatz	Die Einweisung erfolgt während der Arbeitszeit vor Ort.	IHK-AP1 kommunikation
Webinare	festgelegt von der Zeit, findet online statt, interaktiv	IHK-AP1 kommunikation
Video-Tutorien	zeitlich flexibel und unabhängig genutzt von den anderen Mitarbeitern, keine Interaktion möglich	IHK-AP1 kommunikation
Multiplikatoren-Schulung	Schulung ausgewählter Mitarbeiter, die ihr Wissen an die anderen Mitarbeiter weitergeben sollen	IHK-AP1 kommunikation
Aktivieren von Autoupdate-Mechanismen	z. B. Windows Updates aktivieren, Update der Virensignaturen aktivieren	IHK-AP1 software itsicherheit
Beschreiben Sie zwei der Risiken.	Keine zeitliche und räumliche Trennung der gesicherten Daten vorhanden<br><br>Wöchentlicher Sicherungszyklus zu lange, Rekonstruktion bei Datensicherung kaum möglich bzw. sehr aufwendig	IHK-AP1 itsicherheit hardware
Nennen Sie die drei Schritte für den Einbau der CPU.	Hebel öffnen<br><br>CPU vorsichtig einsetzen<br><br>Hebel schließen.	IHK-AP1 hardware software
Beschreiben Sie, welche beiden Punkte beim Schritt 2 besonders zu beachten sind.	Die CPU nicht mit Gewalt einsetzen.<br><br>Der Pfeil auf der Oberseite des Prozessors muss mit dem Pfeil auf dem Prozessorsockel übereinstimmen.	IHK-AP1 hardware
Erläutern Sie, welche Aufgabe die Wärmeleitpaste hat.	Die Wärmeleitpaste soll kleine Unebenheiten auf den Kontaktflächen ausgleichen, da Luft ein schlechter Wärmeleiter ist.	IHK-AP1 hardware
Erläutern Sie, was Sie beim Einsetzen der beiden Speicherriegel beachten müssen, damit der RAM im Dual Channel Modus arbeitet.	Man sollte im Handbuch nachschauen, wie die Belegung der Kanäle ist, bspw. Einsetzen der beiden RAM-Riegel in den Slot A1 und B1 oder<br>in A2 und B2.<br><br>Die beiden RAM-Riegel (Kanäle) müssen die gleiche Speichergröße haben.	IHK-AP1 hardware
Nennen Sie einen Vorteil und einen Nachteil einer M.2 SSD gegenüber einer SATA SSD.	Vorteil:<br><br>Schneller<br><br>Kompakte Bauweise<br><br>Nachteil:<br><br>Teurer<br><br>Meist nur ein oder zwei Anschlüsse auf dem Motherboard vorhanden	IHK-AP1 hardware
Beschreiben Sie, welche Besonderheit der umrahmte USB-Anschluss hat.	Dieser Anschluss wird für das BIOS (Uefi) Update benutzt.	IHK-AP1 netzwerk
Nennen Sie zwei Vorteile des USB-C Anschlusses gegenüber dem USB-3 Anschluss.	Höhere Datenrate<br><br>Höhere Stromversorgung<br><br>Beidseitig steckbar	IHK-AP1 netzwerk
Erläutern Sie den Begriff „Logische Prozessoren“.	Die logischen Prozessoren sind eine Teilung der physikalischen CPU-Kerne und dienen dazu, mehrere Threads gleichzeitig in einem<br>­Prozessorkern auszuführen (Hyperthreading).	IHK-AP1 hardware software
Beschreiben Sie allgemein die Aufgabe eines „Cache“-Speichers.	Ein Cache-Speicher ist ein schneller Zwischenspeicher. Der Cache reduziert die Anzahl der Zugriffe auf ein langsameres Speichermedium.	IHK-AP1 netzwerk
Nennen Sie zwei wesentliche Informationen, die Sie vom Administrator erfragen müssen, um das Notebook im WLAN anmelden zu können.	SSID des WLAN-Netzes<br><br>Pre-shared-key (PSK) oder auch Passwort möglich	IHK-AP1 netzwerk
Interpretation	OSI-Schicht 1 fehlerfrei, Fehler liegt in einer höheren Schicht	IHK-AP1 netzwerk
Benennen Sie einen Wert, welcher der OSI-Schicht 1 zuzuordnen ist und interpretieren Sie diesen bezüglich seiner Funktionalität.	Wert:<br><br>Medienstatus vorhanden<br><br>Signalqualität hoch<br><br>Aktivität (gesendete und empfangene Daten) Datenübertragungsrate hoch<br><br>Interpretation: OSI-Schicht 1 fehlerfrei, Fehler liegt in einer höheren Schicht	IHK-AP1 netzwerk
Beschreiben Sie die Herkunft der Adresse 50-1A-C5-F2-38-B7.	Hier handelt es sich um die der Netzwerkkarte vom Hersteller fest zugeordnete MAC-Adresse.	IHK-AP1 netzwerk
Beschreiben Sie die Herkunft der Adresse fe80::85e1:1ec1:c9e2:3cbb.	Hier handelt es sich um eine link-lokale IPv6-Adresse, die sich der Rechner unabhängig vom Netz selbst zugewiesen hat.	IHK-AP1 netzwerk
Nennen Sie die Bezeichnung des Servers, der hier durch den Befehl zur Erneuerung der IP-Adresse kontaktiert wurde.	DHCP-Server	IHK-AP1 netzwerk
Benennen Sie den von Ihnen ermittelten Fehler.	Fehlerursache war die fehlende Zuteilung einer IP	IHK-AP1 netzwerk
Nennen Sie vier Leistungsmerkmale einer Workspace-Management-Software anhand des oben zitierten Textes.	Softwareverteilung<br><br>Softwarekonfiguration<br><br>Updatemanagement<br><br>Patchmanagement<br><br>Lizenzmanagement<br><br>Inventur	IHK-AP1 software
Nennen Sie zwei Vor- und Nachteile einer cloudbasierten Software gegenüber der on-premises.	Vorteile:<br><br>Kosteneinsparung durch geringere Investitionskosten<br><br>Stets aktuelle Software<br><br>Bessere Skalierbarkeit<br><br>Anbieter übernimmt gegebenenfalls die Sicherung der Daten<br><br>u. a.<br><br>Nachteile<br><br>Fehlende Verfügbarkeit bei Störung des Internetzuganges<br><br>Abhängigkeit vom Cloud-Anbieter<br><br>Möglicherweise Speicherung der Daten im Ausland<br><br>Ziel für Hackerangriffe<br><br>u. a.	IHK-AP1 kalkulation
Nennen Sie die aktuell vorliegende Marktform.	Oligopol	IHK-AP1 kalkulation
Nennen Sie die neue Marktform, mit der die Package AG zukünftig rechnen sollte.	Polypol	IHK-AP1 kalkulation
Anteilseigner	Bereitschaft zur Finanzierung des Projekts	IHK-AP1 projekt ki
Mitarbeiter	Akzeptanz des Projekts bei der Durchführung	IHK-AP1 projekt ki
Beschreiben Sie drei Gruppen von Stakeholdern mit deren Einfluss auf das Projekt.	z. B.<br>Anteilseigner: Bereitschaft zur Finanzierung des Projekts<br>Mitarbeiter: Akzeptanz des Projekts bei der Durchführung<br>Lieferanten: Realisierbarkeit vollautomatisierter Bestellungen	IHK-AP1 projekt ki
Nennen Sie zwei technologische Vorteile der IPv6-Adressierung gegenüber IPv4, die für den Einsatz im Bereich IoT relevant sein können.	z. B.<br>– Nahezu uneingeschränkte Adresszahl<br>– Weltweite Erreichbarkeit einzelner Komponenten<br>– Verbesserte Integration von Sicherheitsmaßnahmen wie IPSec<br>– Verschlankung des Protokoll-Headers	IHK-AP1 netzwerk
Geben Sie an, wie viele Teilnetze mit der gegebenen IPv6-Adresse gebildet werden können.	2^16	IHK-AP1 netzwerk
Entscheidung	PC-Genie KG, Frankfurt (höchste Punktzahl 77)	IHK-AP1 kalkulation
Begründung	Thin Client unterstützt am besten einen wechselnden Arbeitsplatz.	IHK-AP1 hardware arbeitsplatz
Nennen Sie drei mögliche Gründe.	z. B.<br>– Höhere Zuverlässigkeit<br>– Großzügigeres Kulanzverhalten<br>– Guter Service<br>– Niedrige Reklamationsquote	IHK-AP1 kalkulation
Beschreiben Sie das Grundprinzip von Leasing und erklären Sie dabei die Eigentums- und Besitzverhältnisse.	Zeitlich begrenztes, vertraglich vereinbartes Nutzungsrecht an Gebäuden oder beweglichen Anlagegütern. (2 Punkte)<br>Eigentümer ist der Leasinggeber. (1 Punkt)<br>Besitzer ist der Leasingnehmer. (1 Punkt)	IHK-AP1 kalkulation
Nennen Sie drei Vorteile, die für einen Leasingvertrag sprechen.	z. B.<br>– Liquidität wird zunächst nur in Höhe der ersten Rate gebunden<br>– Eigenkapital wird nicht gemindert<br>– Kreditspielraum bleibt erhalten<br>– Schnellere Anpassung an den technischen Fortschritt<br>– Keine Sicherheiten notwendig, da der Leasinggeber Eigentümer bleibt<br>– Durch feste Leasingraten wird die Planung erleichtert<br>– Steuerliche Vorteile	IHK-AP1 kalkulation
Erläutern Sie den Begriff Kaufoption.	Nach Vertragsablauf kann der Leasingnehmer den gemieteten Gegenstand zum Restwert oder Buchwert übernehmen.	IHK-AP1 kalkulation
Nennen Sie zwei allgemeine Aufgaben des BSI.	– Anlaufstelle für Unternehmen und Bürger zum Thema IT-Sicherheit<br>– Erarbeitung von Standards zur IT-Sicherheit<br>– Schutz der IT-Systeme des Bundes<br>– Nennung weiterer Aufgaben laut Sicherheitsgesetz möglich	IHK-AP1 software netzwerk
Erklären Sie den Begriff der „Härtung“ eines Betriebssystems.	Reduktion von Angriffsmöglichkeiten, z. B. durch Deaktivierung von nicht notwendigen Diensten.	IHK-AP1 software
Nennen Sie zwei Beispiele für eine Härtung eines Betriebssystems.	– Entfernung oder Deaktivierung von für den Betrieb nicht zwingend erforderlichen Softwarekomponenten<br>– Reduzierung von Rechten und ihrer Vererbung auf das minimal notwendige Maß<br>– Nutzung von Verschlüsselung, z. B. für Datenübertragung<br>– Alle nicht benötigten Benutzerkonten löschen<br>– Alle nicht benötigten Ports schließen	IHK-AP1 software itsicherheit
Nennen Sie zwei Systemwerkzeuge („Bordmittel“) eines Betriebssystems, mit denen die IT-Sicherheit erhöht werden kann.	– Firewall<br>– Virenschutz<br>– Datensicherung<br>– Benutzerverwaltung<br>– u. a.	IHK-AP1 itsicherheit software
Beschreiben Sie, wozu Gruppenrichtlinien auf einem Arbeitsplatzrechner eingesetzt werden können.	– Digitale Richtlinie für verschiedene Einstellungen (Computer und Benutzer).<br>– Gruppenrichtlinien (Group Policies) erlauben den Administratoren die Vorgabe von Einstellungen zentral für einen oder mehrere Rechner. Die Einstellungen werden im Rechner festgeschrieben und können durch Anwender nicht geändert werden.<br>– Nennung von konkreten Einstellungen sind auch korrekt (z. B. Passworteinstellungen, Sperrung von Konfigurationsmöglichkeiten).	IHK-AP1 arbeitsplatz
Beschreiben Sie, inwiefern eine Protokollierung (Logging) zur Erhöhung der IT-Sicherheit beitragen kann.	Identifikation von Fehlern und unerlaubten Aktivitäten und Zuordnung zu entsprechenden Zeiten und Benutzern.	IHK-AP1 netzwerk kommunikation
Beschreiben Sie die besonderen Anforderungen an den Datenschutz, die bei der Protokollierung beachtet werden müssen.	Es dürfen Daten nur begrenzt gespeichert und ausgewertet werden. Nennung von konkreten Beispielen sind auch korrekt (z. B. Grundsatz der Datensparsamkeit).	IHK-AP1 netzwerk datenschutz
Beschreiben Sie zwei Unterschiede zwischen einem Lastenheft und einem Pflichtenheft.	Das Lastenheft enthält die Anforderungen des Auftraggebers. Es beschreibt, was der Auftraggeber vom Auftragnehmer erwartet.<br>Aufgabe des Pflichtenheftes ist die Beschreibung der Leistungen, mit denen der Auftragnehmer die im Lastenheft genannten Anforderungen erfüllen will, wie und womit das Vorhaben realisiert wird. Das Pflichtenheft enthält die Leistungen, zu denen sich der Auftragnehmer verpflichtet.	IHK-AP1 projekt
Nennen Sie zwei weitere Inhalte, die neben der Ausgangssituation in ein Lastenheft gehören.	Inhalt Lastenheft:<br>– Ausgangssituation<br>– Liste von Anforderungen<br>– Rahmenbedingungen<br>– Beschreibung von Schnittstellen<br>– Qualitätsziele<br>– Zeitziele<br>– Budget<br>– u. a.	IHK-AP1 projekt hardware
Beschreiben Sie zwei Kritikpunkte an diesem Ablauf.	Beschreibungen zu folgenden Kritikpunkten:<br><br>Langsame Reaktion bei dringenden Störungen<br><br>Kontaktaufnahme nur per Mail möglich<br><br>Daten in der Tabellenkalkulation nicht transparent und revisionssicher<br><br>u. a.	IHK-AP1 kalkulation
Nennen Sie zwei geeignete Maßnahmen, um die Servicequalität zu verbessern.	Einführung eines Ticketsystems<br><br>Einführung eines CRM-Systems<br><br>Schnellere Bearbeitung dringender Notfälle<br><br>Einführung eines Premiumservices mit schneller Reaktionszeit<br><br>Einführung eines Schichtsystem zur 24/7-Betreuung<br><br>u. a.	IHK-AP1 software
Nennen Sie drei Methoden für eine Bedarfsanalyse, um die Kundenbedürfnisse zu identifizieren.	Interviews durchführen<br><br>Schriftliche Befragungen (online oder postalisch)<br><br>Fokusgruppe interviewen<br><br>Beschwerden auswerten<br><br>Medien analysieren<br><br>u. a.	IHK-AP1 kommunikation
Benennen Sie eine Gefahr, die bei zu hohen Service-Preisen besteht.	Kunden gehen verloren./Sie können von Kunden abgewiesen werden.	IHK-AP1 kalkulation programmierung
Benennen Sie eine Gefahr, die bei zu niedrigen Service-Preisen besteht.	Die OptiSoft-XXL GmbH arbeitet nicht kostendeckend./Sie wird ihre Kosten nicht decken.	IHK-AP1 kalkulation
Nennen Sie die vier im Text genannten Aspekte zur Service-Preis-Bestimmung.	Berechnen/Kalkulieren Sie Ihre Kosten.<br><br>Kenne deinen Kunden.<br><br>Den Markt beobachten /Schauen Sie sich den Markt an.<br><br>Wählen Sie ein Preismodell.	IHK-AP1 kalkulation
Nennen und begründen Sie zwei weitere Anschaffungen oder Maßnahmen.	z. B.<br><br>Headset zum Senden und Empfangen von akustischen Signalen, z. B. bei Videokonferenzen<br><br>Kamera zur Übertragung des eigenen Bildes<br><br>Telefon für betriebliche Gespräche<br><br>Drucker für betriebliche Ausdrucke<br><br>Ergonomischer Bürostuhl zur Vermeidung von gesundheitlichen Schäden<br><br>Blendfreie Lichtquelle für ermüdungsfreies Arbeiten<br><br>Gesicherter Internetanschluss zur datenschutzkonformen Kommunikation	IHK-AP1 arbeitsplatz
Erläutern Sie anhand von zwei Aspekten, warum die Anforderungen an einen Bildschirmarbeitsplatz durch ein Tablet nicht erfüllt werden.	Antworten u. a. in folgenden Bereichen möglich:<br><br>Ergonomie<br><br>Anschlussmöglichkeiten<br><br>Softwarenutzung<br><br>Leistung	IHK-AP1 arbeitsplatz
Beschreiben Sie zwei Möglichkeiten bzw. Ergänzungen, die Arbeit mit den Notebooks ergonomischer zu gestalten.	Einsatz einer ergonomischen Tastatur<br><br>Einsatz einer ergonomischen Maus<br><br>Zusätzlicher Bildschirm<br><br>Dockingstation<br><br>u. a.<br><br>Oder weitere sinnvolle Antworten	IHK-AP1 hardware
Nennen Sie dazu zwei in Deutschland für den Datenschutz relevante gesetzliche Grundlagen.	Z. B. Bundesdatenschutzgesetz, DSGVO, Strafgesetzbuch (Vorbereitung des Ausspähens und Abfangens von Daten), Grundgesetz (Art. 10<br>Fernmeldegeheimnis), Landesdatenschutzgesetz	IHK-AP1 datenschutz
Nennen Sie zwei Kriterien für ein sicheres Passwort.	Z. B. Mindestlänge acht Zeichen, besteht aus Groß-/Kleinbuchstaben und Sonderzeichen, Passwort ist nicht in Wörterbuch zu finden o. Ä.	IHK-AP1 itsicherheit
Vertraulichkeit	Die Daten auf der SSD können nur von berechtigten Personen eingesehen werden.	IHK-AP1 itsicherheit ki
Integrität	Eine Veränderung der gespeicherten Daten kann bemerkt werden.	IHK-AP1 itsicherheit ki
Beschreiben Sie, was dies in Bezug auf die Daten auf der SSD bedeutet.	Vertraulichkeit: Die Daten auf der SSD können nur von berechtigten Personen eingesehen werden.<br><br>Integrität: Eine Veränderung der gespeicherten Daten kann bemerkt werden.	IHK-AP1 itsicherheit ki
Beschreiben Sie den sicherheitstechnischen Vorteil eines Virtual Private Network (VPN).	Eine sichere Datenübertragung auch über ein unsicheres Netz kann gewährleistet werden.	IHK-AP1 itsicherheit arbeitsplatz
Beschreiben Sie die von Ihrem Arbeitgeber mithilfe des digitalen Zertifikats geplante Identifizierung.	Das digitale Zertifikat dient der Authentifizierung des Mitarbeiters am Telearbeitsplatz gegenüber dem Server im Firmennetz.	IHK-AP1 itsicherheit
Nennen Sie jeweils zwei wesentliche Merkmale von Gantt-Diagramm und Netzplan.	Gantt-Diagramm:<br><br>Bessere Visualisierung des zeitlichen Ablaufs<br><br>Nutzbar für Terminplanung<br><br>Darstellung in Balkenform<br><br>Netzplan:<br><br>Übersichtliche Darstellung der Abhängigkeiten von Projektphasen<br><br>Frühester, spätester Anfangszeitpunkt im Netzplan dargestellt<br><br>Besserer Vergleich der einzelnen Projektphasen<br><br>Andere Antworten sind möglich.	IHK-AP1 projekt
Erläutern Sie, zu welchem Zeitpunkt der Kaufvertrag zustande gekommen ist und begründen Sie Ihre Entscheidung.	Der Kaufvertrag ist mit der Lieferung 7. Oktober zustande gekommen. (1 Punkt)<br>Begründung: Die Bestellung gilt hierbei als Antrag (1. Willenserklärung), die Lieferung (schlüssiges Handeln, 2. übereinstimmende Willenserklärung) als Annahme. (1 Punkt)	IHK-AP1 kalkulation
Nennen Sie drei mögliche Inhalte, die durch einen Kaufvertrag geregelt sind (Abgrenzung von den juristischen Bestandteilen eines Kaufvertrags, z. B. Willenserklärungen).	– Kaufgegenstand (oder auch Sache, Kaufsache, Beschaffenheit der Ware)<br>– Menge<br>– Kaufpreis<br>– Zahlungsbedingungen<br>– Lieferbedingungen<br>– Liefertermin<br>– u. a.<br><br>Je Nennung 1 Punkt, maximal 3 Punkte	IHK-AP1 kalkulation
Nennen Sie zwei Kaufvertragsstörungen.	– Lieferverzug<br>– Mangelhafte Lieferung	IHK-AP1 kalkulation
LED leuchtet durchgehend	Es wurde eine erfolgreiche physikalische Netzwerkverbindung zwischen zwei Netzwerkports (der Netzwerkkarte und einem Switch) hergestellt.	IHK-AP1 netzwerk
Nennen Sie unter Bezugnahme auf Abb. 1 die Informationen, die der DHCP-Server Ihrem Client zur Verfügung stellt.	IPv4-Adresse, Subnetzmaske. Angabe der konkreten Werte ist auch möglich.	IHK-AP1 netzwerk
Erläutern Sie anhand des Beispiels in Abb. 2 die grundlegende Aufgabe des Address Resolution Protocol (ARP) bei der Netzwerkkommunikation in einem LAN.	Ermittlung der zugehörigen MAC-Adresse (hier nur: d4-3f-cb-8c-37-8b) zu den IP-Adressen (hier nur: 192.168.0.1).	IHK-AP1 netzwerk
Nennen Sie drei Möglichkeiten, um Informationen über das unbekannte Dateiformat erhalten zu können.	– Online-Recherche mit Suchmaschine<br>– Frage in Foren oder Online-Communities<br>– Anfrage beim Hersteller<br>– Fachliteratur<br>– Handbücher<br>– Chatbot wie z. B. ChatGPT<br>– u. a.	IHK-AP1 daten
Nennen Sie eine Möglichkeit, wie Sie die Kundendaten in Ihrem CAD-System dennoch verwenden können.	– Importmöglichkeiten des CAD-Programms<br>– Exportmöglichkeit eines CAD-Programms<br>– Dateiformatkonverter benutzen (online oder offline)<br>– Eigenen Konverter programmieren<br>– u. a.	IHK-AP1 daten
ASCII-Format	Eine Datei im ASCII-Format speichert Daten als ASCII-Zeichen, die mit jedem Texteditor geöffnet und bearbeitet werden können. (2 Punkte)	IHK-AP1 software
Binärdatei	Eine Binärdatei speichert Daten in einem binären Format, die nur mit der entsprechenden Anwendung verarbeitet werden kann. (2 Punkte)	IHK-AP1 software
Erläutern Sie den Unterschied zwischen einer Datei im ASCII Format und einer Datei im Binär Format.	ASCII-Format: Eine Datei im ASCII-Format speichert Daten als ASCII-Zeichen, die mit jedem Texteditor geöffnet und bearbeitet werden können. (2 Punkte)<br>Binärdatei: Eine Binärdatei speichert Daten in einem binären Format, die nur mit der entsprechenden Anwendung verarbeitet werden kann. (2 Punkte)	IHK-AP1 software
VPN (Virtual Private Network)	Eine Netzwerkverbindung ohne eigene physische Verbindung, die von Unberechtigten nicht einsehbar ist.	IHK-AP1 itsicherheit
Erklären Sie die Funktionalität des Begriffs VPN.	VPN (Virtual Private Network): Eine Netzwerkverbindung ohne eigene physische Verbindung, die von Unberechtigten nicht einsehbar ist.<br>Sinngemäß auch gültig:<br>– Verschlüsselte Verbindung unter Nutzung des öffentlichen Netzes (Internet)<br>– Eine Technologie, die eine sichere Verbindung über das Internet zwischen einem Gerät (z. B. Computer, Smartphone) und einem entfernten Netzwerk herstellt.	IHK-AP1 itsicherheit
Viren	Software, die den Programmcode eines ursprünglich unschädlichen Programms befällt und sich selbst verbreitet.	IHK-AP1 itsicherheit software
Wurm	Wird nach Infektion selbst aktiv und breitet sich aus.	IHK-AP1 itsicherheit software
Trojaner	Eingebettet in eine meist nützliche Software; Trojaner wird durch Start dieser Software aktiv.	IHK-AP1 itsicherheit software
Nennen Sie drei Arten von Malware.	Nennen: (3 x 1 Punkt), z. B.<br>– Viren: Software, die den Programmcode eines ursprünglich unschädlichen Programms befällt und sich selbst verbreitet.<br>– Wurm: Wird nach Infektion selbst aktiv und breitet sich aus.<br>– Trojaner: Eingebettet in eine meist nützliche Software; Trojaner wird durch Start dieser Software aktiv.<br>– Spyware, Adware, Backdoor, Scareware, Ransomware, Keylogger, Riskware, Archivbomben, Dropper	IHK-AP1 itsicherheit software
Merkmal	(3 x 1 Punkt), passend zu den in da) genannten Arten, z. B.	IHK-AP1 itsicherheit
Virus	befällt den Programmcode eines anderen Programms und verbreitet sich selbst	IHK-AP1 itsicherheit
Spyware	spioniert Inhalte und Aktivitäten aus	IHK-AP1 itsicherheit
Ransomware	blockiert den Zugriff bzw. verschlüsselt Dateien und fordert Lösegeld	IHK-AP1 itsicherheit
Keylogger	protokolliert Tastatureingaben und stellt sie Dritten bereit	IHK-AP1 itsicherheit
Erläutern Sie Herrn Müller drei weitere organisatorische oder technische Empfehlungen, wie man sich vor Malware schützen kann.	z. B.<br>– Keine unbekannten Datenträger benutzen, die infizierte Dateien enthalten könnten<br>– Kein Download von unsicheren Quellen<br>– Keine Ausführung aktiver Inhalte von Dateien (z. B. Makros, E-Mail-Anhänge)<br>– AdBlocker nutzen<br>– Regelmäßig Updates von Betriebssystem und Anwendungen installieren<br>– Mitarbeiter sensibilisieren	IHK-AP1 software
Umrechnung auf Minuten und Sekunden	172 Sekunden (2 Minuten und 52 Sekunden): 1 Punkt	IHK-AP1 daten kalkulation
Nennen Sie drei technische Möglichkeiten, um eine automatische Zutrittskontrolle zu gewährleisten.	Mit Fingerabdrucksensor<br><br>Über eine Stimmenerkennung<br><br>Durch die Eingabe eines Zahlencodes<br><br>Durch die Verwendung eines Kartenscanners<br><br>Weitere Lösungen sind möglich.	IHK-AP1 hardware
Nennen Sie zwei Argumente, die gegen eine Fremdvergabe sprechen.	Weitergabe von Know-how<br><br>Abhängigkeit von Dritten<br><br>Höherer Abstimmungs-/Verwaltungsaufwand<br><br>Sicherheits- und Datenschutzbedenken<br><br>u. a.	IHK-AP1 datenschutz
Anforderungen des Projekts	Einige Sprachen eignen sich besser für bestimmte Anwendungsfälle und Aufgaben als andere.	IHK-AP1 software
